abash, to make ashamed, verb 
ligature, The act of binding or tying up, verb 
ligneous," of, or resembling wood, woody", adjective 
likelihood, the state of being likely or probable, noun 
lilliputian," extremely small, tiny", adjective 
limber," bending readily, pliant, lithe", verb 
limerick, a kind of humorous verse of five lines, noun 
limitation, the act of limiting or the state of being limited, noun 
limpid," clear, transparent, or pellucid, as water, crystal, or air", adjective 
linchpin, a pin through holes at the end of an axle to secure a wheel, noun 
lineage," descent in a line from a common progenitor, race", noun 
linear," having the form of a line, straight", adjective 
liner, someone who fits a lining to something, noun 
lingo," language, jargon or a dialect", noun 
lingua, language, noun 
lingual, related to the tongue, adjective 
liniment, a liquid or semi liquid preparation for applying to the skin, noun 
lionize, to treat (a person) as a celebrity, verb 
liquefacient, something that liquefies or promotes liquefaction, noun 
liquefy, to make into a liquid by condensing a gas or melting a solid, verb 
liqueur, a flavored alcoholic beverage that is usually very sweet, noun 
liquidate, to settle a debt by paying the outstanding amount, verb 
liquor," to drink liquor, usually to excess", verb 
lissome," lithe, quick and graceful in movement", adjective 
listless," having or showing little or no interest in anything, languid", adjective 
litany, a prolonged or tedious account, noun 
literacy, the ability to read, noun 
literal," exactly as stated, understood without extra interpretation", adjective 
literati," persons of scholarly or literary attainments, intellectuals", noun 
literature, the body of all written works, noun 
lithe," bending readily, pliant, limber", adjective 
lithesome, describing as being lithe, adjective 
lithograph, to create a copy of an image through lithography, verb 
lithotype, a printing plate used in lithotypography, noun 
litigant, a person engaged in a lawsuit, noun 
litigate, to go to law, verb 
litigious, of or relating to litigation, adjective 
littoral," of or relating to the shore, especially the seashore", adjective 
liturgy," a form of public worship, ritual", noun 
livelihood," a person's lifetime, or their manner of living", noun 
livid," enraged, furiously angry", adjective 
loam," a rich, friable soil", noun 
loath," unwilling, reluctant, averse, disinclined", adjective 
loathe," to hate, detest, revile", verb 
lobbyist, a person remunerated to persuade (to lobby) politicians, noun 
locative," indicating place, or the place where, or wherein", adjective 
loch, a lake, noun 
locomotion, the ability to move or the act of moving from place to place, noun 
lode, a rich supply or source, noun 
lodgment, an area used for lodging, noun 
lofty," high, tall, having great height or stature", adjective 
logic, the principles governing correct or reliable inference, noun 
logical, in agreement with the principles of logic, adjective 
logician, a person who studies or teaches logic, noun 
logistics," the planning, implementation, and coordination of details", noun 
loiterer," one who loiters, one who lingers or hangs around", noun 
loll," to act lazily or indolently, to recline, to lean", verb 
longevity," the quality of being long-lasting, especially of life", noun 
loot," to steal, especially as part of war, riot", verb 
loquacious," talking or tending to talk much or freely, talkative", adjective 
loquacity, talkativeness, noun 
lordling, an unimportant or petty lord, noun 
lough," a lake or long, narrow inlet, especially in ireland", noun 
louse, to remove lice from the body of a person or animal, verb 
lucid," easily understood, completely intelligible or comprehensible", adjective 
lucrative," producing a surplus, profitable", adjective 
lucubration," laborious work, study, thought, etc , especially at night", noun 
ludicrous," idiotic or unthinkable, often to the point of being funny", adjective 
lugubrious," mournful, dismal or gloomy, especially in an affected manner", adjective 
lukewarm, temperature between warm and cool, adjective 
lumen, the amount of light that falls on a unit area, noun 
luminary," one that is an inspiration to others, who has had success", noun 
luminous," emitting light, glowing brightly", adjective 
lummox," a clumsy, stupid person", noun 
lunacy," the state of being mad, insanity", noun 
lunar," of, or pertaining to, the moon", adjective 
lunatic, an insane person, noun 
lune, anything shaped like a crescent or a half moon, noun 
lurid," shocking, horrifying", adjective 
luscious," sweet and pleasant, delicious", adjective 
lustrous," having a glow, having luster, shining", adjective 
luxuriate, to enjoy luxury, verb 
luxurious, enjoying pleasures of luxury, adjective 
lying," characterized by luxury, ministering or conducive to luxury", adjective 
lynch," to execute without a proper trial, especially by hanging", verb 
lyre, a stringed musical instrument, noun 
macabre, representing or personifying death, adjective 
macadamize," to cover with small, broken stones to form a smooth surface", verb 
macerate, to soften or separate (something) into pieces by soaking, verb 
machination," a clever scheme or artful plot, usually crafted for evil", noun 
machinations, plural form of machination, noun 
machinery," the parts of a machine, collectively", noun 
machinist, one versed in the principles of machines, noun 
macrocosm," a complex structure, considered a single entity", noun 
madden, to make angry, verb 
madrigal, a song for a small number of unaccompanied voices, noun 
maelstrom," a large, powerful, or violent", whirlpool 
magician, an entertainer skilled in creating illusions, noun 
magisterial," befitting the status of a master, authoritative", adjective 
magistracy, the office or dignity of a magistrate, noun 
magnanimous, generous in forgiving an insult or injury, adjective 
magnate, a person of great influence in a particular field, noun 
magnet, a thing or person that attracts, noun 
magnetize, to make magnetic, verb 
magnificence," grandeur, brilliance, lavishness or splendor", noun 
magniloquent," speaking pompously, using swelling discourse, bombastic", adjective 
magnitude," size, extent, dimensions", noun 
maharaja," a ruling prince in india, especially one of major states", noun 
maidenhood, the time when one is a maiden or young girl, noun 
maize," corn, a type of grain of the species zea mays", noun 
maladroit," unskillful, awkward, bungling", adjective 
malady, any ailment or disease of the human body, noun 
malaise, a feeling of general bodily discomfort or unpleasantness, noun 
malapropism, the use of an inappropriate word in place of a similar one, noun 
malaria," disease characterized by chills, fever, and sweating", noun 
malcontent," dissatisfied with current conditions, discontented", adjective 
malediction," a curse, imprecation, slander", noun 
malefactor, a criminal or felon, noun 
maleficent, harmful or evil in intent or effect, adjective 
malevolent," having or displaying ill will, wishing harm on others", adjective 
malfeasance, an act by a public official that is contrary to law, noun 
malicious," of, pertaining to, or as a result of malice or spite", adjective 
malign, to make defamatory statements about someone or something, verb 
malignant," disposed to cause harm, suffering, or distress deliberately", adjective 
malinger," to pretend illness, especially in order to shirk one's duty", verb 
malingerer, a person who malingers, noun 
malleable, capable of being extended or shaped by hammering or pressure, adjective 
mallet, a hammerlike tool with a head commonly of wood, noun 
maltreat, to treat badly, verb 
mandate, authorization to act in a particular way on a public issue, noun 
mane, the long hair growing on the neck of some animals, noun 
maneuver," to move (something) carefully, and often with difficulty", verb 
mania," violent derangement of mind, madness, insanity", noun 
manifest," to show plainly, to make to appear distinctly", verb 
manifold," to make manifold, multiply", verb 
manipulatable, capable of being manipulated, adjective 
mannerism, a group of habitual behaviors peculiar to an individual, noun 
manor, a landed estate, noun 
mantel, the shelf above a fireplace, noun 
mantle, to cover or conceal (something), verb 
manufacturer, a company that owns or runs a manufacturing plant, noun 
manumission," release from slavery, freedom, the act of manumitting", noun 
manumit," to release from slavery, to free", verb 
mar," to damage or spoil, render less perfect, attractive", verb 
maraud, to roam or go around in quest of plunder, verb 
marauder, someone who moves about looking for plunder, noun 
marginal," of, relating to, or located at a margin or an edge", adjective 
marine," pertaining to the sea (marine biology, marine insurance)", adjective 
maritime, related to the sea or sailing, adjective 
maroon," to abandon in a remote, desolate place", verb 
marquee," a large tent with open sides, used for outdoor entertainment", noun 
marred, impaired appearance, verb 
marshal, to arrange troops etc in line for inspection or a parade, verb 
marsupial," mammal of the order of marsupialia, i.e. kangaroos, wombats", noun 
martial," of, relating to, or suggestive of war, warlike", adjective 
martian, of or pertaining to the planet mars, adjective 
martinet," a strict disciplinarian, especially a military one", noun 
martyrdom, the suffering of death on account of adherence to a cause, noun 
marvel, to become filled with wonderment or admiration, verb 
masochist, someone who enjoys pain, noun 
masonry," the art or occupation of a mason, stonework", noun 
masquerade," to assemble in masks, to take part in a masquerade", verb 
massacre, to kill unnecessarily and indiscriminately, verb 
massive," of or pertaining to a large mass, weighty, heavy, or bulky", adjective 
mastery," the position or authority of a master, command", noun 
masticate, to chew, verb 
material, having to do with matter, adjective 
maternal," having the characteristics of a mother, motherly", adjective 
matinee, the afternoon showing of a movie or theatrical performance, noun 
matriarch," a female leader of a family, a tribe or group", noun 
matricide, the killing of one's mother, noun 
matriculate, to enroll in a college or university as a degree candidate, verb 
matrimony, marriage or the state of being married, noun 
matrix, a thing constituting the point from which another originates, noun 
matter, to be important, verb 
maudlin," tearfully or weakly emotional, foolishly", sentimental 
maul," a heavy hammer, as for driving stakes or wedges", noun 
mausoleum, a large stately tomb, noun 
maverick, a person of independent or unorthodox views, noun 
mawkish," characterized by sickly sentimentality, maudlin", adjective 
maxim, an expression of a general truth or principle, noun 
mead, an alcoholic drink fermented from honey and water, noun 
meager," deficient in quantity or quality, lacking fullness", adjective 
meander," to wind, turn, or twist, to make flexuous, to wander", verb 
mechanics, branch of mathematics dealing with motion and forces, noun 
medallion," a large medal, usually decorative", noun 
meddlesome, having a tendency to interfere in other people's business, adjective 
medial, of or pertaining to a mean or average, adjective 
mediate, to resolve differences between conflicting parties, verb 
medicine, a substance which promotes healing when consumed in some way, noun 
medieval, in the style of the middle ages, adjective 
mediocre," ordinary, not extraordinary, not special", adjective 
meditation," a devotional exercise of, or leading to contemplation", noun 
medley," a mixture, especially of heterogeneous elements, hodgepodge", noun 
meek," humbly patient or docile, as under provocation from others", adjective 
megalomania, a symptom of mental illness marked by delusions of greatness, noun 
melancholy, affected with great sadness or depression, adjective 
melange, a collection containing a variety of miscellaneous things, noun 
melee, a confused hand-to-hand fight among several people, noun 
meliorate," to make better, to improve, to heal or solve a problem", verb 
mellifluous," sweetly or smoothly flowing, sweet-sounding", adjective 
mellow," soft, sweet, and full-flavored from ripeness, as fruit", adjective 
melodious," having a pleasant melody or sound, tuneful", adjective 
memento," a keepsake, an object kept as a reminder of a place or event", noun 
memorable," worthy to be remembered, very important or remarkable", adjective 
menace," something that threatens to cause evil or harm, a threat", noun 
menagerie, a collection of live wild animals on exhibition, noun 
mendacious," lying, untruthful or dishonest", adjective 
mendacity," untruthfulness, tendency to lie", noun 
mendicant," begging, living on alms", adjective 
menial, of or relating to work normally performed by a servant, adjective 
mentality," a mindset, a way of thinking", noun 
mentor, a wise and trusted counselor or teacher, noun 
mephitic, foul-smelling, adjective 
mercantile, concerned with the exchange of goods for profit, adjective 
mercenary, working or acting merely for money or other reward, adjective 
merciful, showing mercy, adjective 
mercurial," changeable, volatile, fickle", adjective 
meretricious, alluring by a show of flashy or vulgar attractions, adjective 
merge, to combine into a whole, verb 
meritocracy, a society where status is assigned through competition, noun 
meritorious," deserving of merit or commendation, deserving reward", adjective 
merriment," cheerful or joyful gaiety, mirth, hilarity, laughter", noun 
mesmerize," to exercise mesmerism on, to spellbind, to enthrall", verb 
messieurs, plural form of monsieur, noun 
metallurgy," the science of metals, their extraction from ores, etc", noun 
metamorphose," to change the form or nature of, transform", verb 
metaphor, figure of speech: something used to represent something else, noun 
metaphysics, the underlying theoretical principles of a subject or field, noun 
mete, to measure, verb 
metempsychosis," transmigration of the soul, especially its reincarnation", noun 
methodology, a sat of principles for regulating a given discipline, noun 
meticulous," showing extreme care about minute details, precise", adjective 
metonymy, figure of speech: an object's name used for a related object, noun 
metronome, a device used to mark time with ticks at an adjustible pace, noun 
metropolis," a large, busy city", noun 
mettle, a quality of endurance and courage, noun 
miasma, noxious exhalations from putrescent organic matter, noun 
microcosm, man considered as a miniature counterpart of the universal, noun 
micrometer," one one-millionth of a meter symbols: µm, um, rm", noun 
microphone, to put one or more microphones on or in, verb 
microscopic, invisible without the use of the microscope, adjective 
microscopy," the study of microscopes, their design and manufacture", noun 
midwife, a person trained to assist women in childbirth, noun 
mien," demeanor or attitude, especially one intended by its bearer", noun 
migrate, to move from one region to another according to the seasons, verb 
migratory, a species or thing that migrates, adjective 
mileage," the total distance, in miles, travelled", noun 
milieu, a person’s social setting or environment, noun 
militant, aggressive or combative, adjective 
militarism, ideology: military is the foundation of a society's security, noun 
militate," to have a substantial effect, weigh heavily", verb 
militia, an army of trained civilians called upon in time of need, noun 
millennium, a period of time consisting of one thousand years, noun 
millet, any of a group of various types of grass used as food, noun 
mimic," to imitate, especially in order to ridicule", verb 
miniature, smaller than normal, adjective 
minimize, to make (something) as small or as insignificant as possible, verb 
minion," favoured, beloved, ""pet""", adjective 
ministration," the act of ministering care, aid, religious services, etc", noun 
ministry," the service, function, or office of a minister of state", noun 
minority, any subgroup that does not form a numerical majority, noun 
minuscule," tiny, very small", adjective 
minutia," a minor detail, often of negligible importance", noun 
mirage," something illusory, without substance or reality", noun 
mire, to weigh down, verb 
mirth," gaiety or jollity, especially when accompanied by laughter", noun 
misadventure, an accidental mishap or misfortune, noun 
misanthrope, a hater of human kind, noun 
misapprehend," to interpret incorrectly, to misunderstand", verb 
misbehave, to act or behave in an inappropriate or improper manner, verb 
miscellany, miscellaneous items, noun 
mischievous," causing mischief, injurious", adjective 
misconstrue," to understand incorrectly, to misunderstand", verb 
miscount, to incorrectly count or add up, verb 
miscreant," depraved, villainous or base", adjective 
misdeed, that which was done that should not have been, noun 
misdemeanor, a crime punishable by a small fine or a short prison term, noun 
miser, a person who lives in poor conditions in order to save money, noun 
miserly," like a miser, very covetous, stingy, cautious with money", adjective 
mishap," an accident, mistake, or problem", noun 
misinterpret," to make an incorrect interpretation, to misunderstand", verb 
mislay," to lose temporarily, misplace", verb 
mismanage, to handle a responsibility in a way which is inept, verb 
misnomer," to use a misleading term, to misname", verb 
misogamy, hatred of or opposition to marriage, noun 
misogyny, hatred or contempt for women, noun 
misplace, to put something somewhere and then forget its location, verb 
misrepresent," to represent falsely, to inaccurately portray something", verb 
misrule," of a trial judge, to make a bad decision in court", verb 
missal, any book of prayers or devotions, noun 
missile, an object intended to be launched into the air at a target, noun 
missive," a written message, a letter, note or memo", noun 
mistrust, to have no confidence in something, verb 
misty," with mist, foggy", adjective 
misuse, to use (something) incorrectly, verb 
mite, a minute arachnid, noun 
miter," to finish a material at an angle, as with sides of a frame", verb 
mitigate," to lessen in force or intensity, moderate", verb 
mnemonic, assisting or intended to assist the memory, adjective 
moat," a deep ditch, usually filled with water, around a fort", noun 
mobocracy," rule or control by the mob, or by a mass of ordinary people", noun 
moccasin," soft leather shoe, originally worn by native americans", adjective 
mockery," the action of mocking, ridicule, derision", noun 
moderate, to reduce the excessiveness of (something), verb 
moderation," avoidance of extremes, restraint", noun 
moderator, someone who moderates, noun 
modernity, the quality of being modern, noun 
modicum, a moderate or small amount, noun 
modification, the act or result of altering something, noun 
modify, to make partial changes to, verb 
modish, conforming with fashion or style, adjective 
modulate," to regulate, adjust or adapt", verb 
mollify," to soften in feeling or temper, as a person, pacify, appease", verb 
molt," to shed hair, feathers, etc and replace with a fresh layer", verb 
momentary, lasting for only a moment, adjective 
momentous, outstanding in importance, adjective 
momentum, (of a body in motion) the product of its mass and velocity, noun 
monarch," a hereditary sovereign, as a king, queen, or emperor", noun 
monastery, place of residence for members of a religious community, noun 
monastic, of or relating to monasteries or monks, adjective 
monetary," of, pertaining to, or consisting of money", adjective 
mongrel," someone of mixed kind or uncertain origin, especially a dog", noun 
monition, a caution or warning of imminent danger, noun 
monitory, giving admonition and warning, adjective 
monocracy," government by only one person, autocracy", noun 
monogram," a design of letters interlaced, commonly one's initials", noun 
monograph, a treatise on a particular subject, noun 
monolith, a large object formed of a single block of stone, noun 
monologue, a prolonged talk by a single speaker, noun 
monomania, excessive interest on a singular object or subject, noun 
monopoly, the exclusive possession or control of something, noun 
monosyllable, a word of one syllable, noun 
monotone, a series of speech sounds in one unvaried tone, noun 
monotony, tedium as a result of repetition or a lack of variety, noun 
monstrosity, a plant or animal showing abnormal development or deformity, noun 
montage, a single composition of images from various sources, noun 
moonbeam," a shaft of moonlight, moonlight generally", noun 
moot," of little or no practical value or meaning, purely academic", verb 
morale," mental condition with respect to confidence, zeal, etc", noun 
morass," a tract of soft, wet ground, a marsh, a fen", noun 
moratorium," an authorized period of delay or waiting, regarding debts", noun 
morbid," suggesting an unhealthy mental state, unwholesomely gloomy", adjective 
mordacious," biting, causing a physical bite or sting, corrosive", adjective 
mordant," sharply caustic or sarcastic, as wit or a speaker, biting", adjective 
mores, a set of moral norms derived from accepted practices, noun 
moribund," in a dying state, near death", adjective 
morose," gloomily or sullenly ill-humored, as a person or mood", adjective 
morphology, the part of biology dealing with the structure of organisms, noun 
mortician, an undertaker or funeral director, noun 
mortify," to humiliate or shame, as by injury to one's pride", verb 
mosaic," an image made of small, colored pieces of glass", noun 
mot," juste the exact, appropriate word", noun 
mote," a small particle or speck, especially of dust", noun 
motif," a recurring or dominant element, a theme", noun 
motley," comprising greatly varied elements, heterogeneous", adjective 
mottled, to mark with spots or blotches of a different color, verb 
motto, a maxim adopted as an expression of a guiding principle, noun 
mountaineer, someone who lives in a mountainous area, noun 
mountainous," having many mountains, rough (terrain), rocky", adjective 
mountebank," a person selling quack medicines, in a public place", noun 
muddle," to mix together, to mix up, to confuse", verb 
muffle, to wrap up in fabric for warmth or protection, verb 
mulatto, a person of mixed african and caucasian descent, noun 
muleteer, a mule driver, noun 
multifarious," having multiplicity, having great diversity or variety", adjective 
multiform, having more than one shape or appearance, adjective 
multiplicity, a large number or variety, noun 
mundane," common, ordinary, banal, unimaginative", adjective 
mundane, lacking interest or excitement; dull., adjective 
municipal, of a city which administers local government, adjective 
munificence," the quality of being munificent, generosity", noun 
munificent, larger or more generous than is usual or necessary, adjective 
murky," hard to see through, as a fog or mist", adjective 
muse," to become lost in thought, to ponder", verb 
muster," to gather, summon, rouse (often followed by up )", verb 
musty, having a stale odor, adjective 
mutable, liable or subject to change or alteration, adjective 
mutation, any alteration or change, noun 
mutilate, to injure or make imperfect by irreparably damaging parts, verb 
mutiny, revolt or rebellion against constituted authority, noun 
myopia, a disorder of the eyes where distant objects appear blurred, noun 
myriad, a very great or indefinite number of persons or things, noun 
mystic, involving otherworldly or symbolic practices or content, adjective 
mystification, the act of mystifying or the condition of being mystified, noun 
mystique, an aura of heightened meaning or mystery around a thing, noun 
nadir," the lowest point, point of greatest adversity or despair", noun 
naphtha, naturally-occurring liquid petroleum, noun 
narcissus, a bulbous plant of the Amyrillis family, noun 
narrate, to relate a story or series of events by speech or writing, verb 
nasal, of or pertaining to the nose, adjective 
nascent, beginning to exist or develop, adjective 
natal, of or relating to birth, adjective 
nationality, membership of a particular nation or state, noun 
natty, smart and fashionable, adjective 
nausea," a feeling of unwellness, usually with the desire to vomit", noun 
nauseate, to cause nausea, verb 
nautical," of or pertaining to sailors, ships, or navigation", adjective 
naval, of or relating to a navy, adjective 
navel, the belly button, noun 
navigable, deep enough and wide enough to afford passage to vessels, adjective 
navigate, to control the position and course of a vehicle on a journey, verb 
nebula, a cloud in outer space consisting of gas or dust, noun 
necrology, a listing of people who have died during a period of time, noun 
necromancy, a method of divination through communication with the dead, noun 
necropolis," a large cemetery, especially one of elaborate construction", noun 
necrosis, the localized death of cells through injury or disease, noun 
nectar, the juice of a fruit or a blend of fruit juices, noun 
nectarine," a variety of peach having a smooth, downless skin.", noun 
nefarious," extremely wicked or villainous, iniquitous", adjective 
negate," to deny the existence, evidence, or truth of", verb 
negation, the act of negating something, noun 
neglectful, failing to take care of matters which require attention, adjective 
negligee," an item of women's nightwear, a lacy nightgown", noun 
negligible, too small or unimportant to be of concern, adjective 
negotiable, able to be traversed, adjective 
nemesis, an archenemy, noun 
neocracy, government by the new or inexperienced, noun 
neolithic, hopelessly outdated, adjective 
neologism, a word or phrase which has recently been coined, noun 
neology, the study or art of neologising (creating new words), noun 
neonate," a newborn infant, recently born baby", noun 
neopaganism, a 20th-century revival of interest in the worship of nature, noun 
neophyte, a beginner, noun 
nepotism, favoritism granted to relatives regardless of merit, noun 
nestle, to settle oneself comfortably and snugly, verb 
nestling, a young bird not yet old enough to leave the nest, noun 
nettle, to sting causing a rash in someone, verb 
network, to interact for the purpose of connections or advancement, verb 
neural," of, or relating to the nerves, neurons or the nervous system", adjective 
neurology, the branch of medicine that deals with the nervous system, noun 
neuter, to remove sex organs from an animal, verb 
neutral," not taking sides in a conflict such as war, nonaligned", adjective 
nexus," a means of connection, tie, link", noun 
nib," the point of a pen, or either of its divisions", noun 
niggardly," withholding for the sake of meanness, stingy, miserly", adjective 
niggling," petty, trivial, inconsequential", verb 
nihilist, a person who accepts or champions nihilism, noun 
nil," nothing, zero", noun 
nimble, quick and light in movement or action, adjective 
nirvana, a blissful state attained through enlightened experience, noun 
nit, the egg of a louse, noun 
nocturnal, primarily active during the night, adjective 
noiseless," producing no noise, without noise", adjective 
noisome," offensive or disgusting, as an odor", adjective 
noisy," making a noise, especially a loud sound", adjective 
nomad," any wanderer, itinerant", noun 
nomenclature, a name, noun 
nomina, (in ancient rome) the second name of a citizen, noun 
nominal," being such in name only, so-called", adjective 
nominate, to appoint to a duty or office, verb 
nominee," a person named, or designated, by another, to any position", noun 
non, sequitur a statement containing an illogical conclusion, noun 
non-combatant, a person who is not directly involved in combat, noun 
non-resident, not resident in a particular place, noun 
nonchalance," indifference, carelessness, coolness", noun 
nonchalant, casually calm and relaxed, adjective 
noncommittal, reluctant to give out information or show one's opinion, adjective 
nondescript," of no recognized, definite, or particular type or kind", adjective 
nonentity, an unimportant or insignificant person, noun 
nonpareil," a person or thing that has no equal, a paragon", noun 
nonplus," to perplex or bewilder someone, to confound or flummox", verb 
nonplussed," to have been rendered utterly perplexed, puzzle completely", verb 
norm," a standard, model, or pattern", noun 
normalcy," the state of being normal, the fact of being normal", noun 
nostalgia, a wistful desire to return to a former time in one's life, noun 
nostrum, a medicine sold with false claims and no demonstrable value, noun 
notes, a brief record of something written down for memory, noun 
notorious," widely known, especially for something bad, infamous", adjective 
novel," new, original, especially in an interesting way", adjective 
novellette, a brief novel or long short story, noun 
novice," a person who is new to the circumstances, work, etc", noun 
noxious," harmful, injurious", adjective 
nuance, a subtle difference or distinction in expression, noun 
nucleus," the core, central part (of something)", noun 
nude, without clothing or other covering of the skin, adjective 
nugatory," of no real value, trifling, worthless", adjective 
nuisance, an obnoxious or annoying thing, noun 
nullity," the state of being void, or invalid", noun 
numerical, of or pertaining to numbers, adjective 
numismatist, one who studies and/or collects coins and/or currencies, noun 
nunnery, a place of residence for nuns, noun 
nuptial, of or pertaining to wedding and marriage, adjective 
nurture, to nourish or nurse, verb 
nutriment," a source of nourishment, food", noun 
nutritive, of or pertaining to nutrition, adjective 
nuzzle, to touch someone or something with the nose, verb 
oaken, made from the wood of the oak tree, adjective 
oakum, a material used to caulk or pack joints, noun 
obdurate," stubborn, unyielding", adjective 
obeisance, demonstration of an obedient attitude, noun 
obelisk," a tapered, stone monolith topped with a pyramidal point", noun 
obese, extremely overweight, adjective 
obfuscate," to confuse, bewilder, or stupefy", verb 
obfuscation, the act of obscuring the perception of something, noun 
obituary, a brief notice of a person’s death, noun 
objective," purpose, goal", adjective 
objector, a person who objects to something, noun 
obligate," to compel by a social, legal, or moral tie", verb 
oblique, neither perpendicular nor parallel to a line or surface, adjective 
obliterate," to remove or destroy all traces of, do away with", verb 
oblivion, the state of being completely forgotten or unknown, noun 
oblong, describing something that is longer than it is wide, adjective 
obloquy," censure, blame, or abusive language aimed at something", noun 
obnoxious," very annoying, offensive, odious or contemptible", adjective 
obscure," to darken, make faint etc", verb 
obsequies, funeral rites, noun 
obsequious," showing servile complaisance or deference, fawning", adjective 
observant, alert and paying close attention, adjective 
obsession, a compulsive or irrational preoccupation, noun 
obsolescence," the state of being obsolete—no longer in use, disused", noun 
obsolete," no longer in general use, fallen into disuse", adjective 
obstetrics, the care of women during and after pregnancy, noun 
obstinacy," the state, or an act, of stubbornness or doggedness", noun 
obstinate," firmly or stubbornly adhering to one's purpose, opinion", adjective 
obstreperous," resisting control or restraint in a difficult manner, unruly", adjective 
obstruct, to block or fill (a passage) with obstacles or an obstacle, verb 
obtrude, to impose (something) on someone or into some area, verb 
obtuse," not quick or alert in perception, not sensitive or observant", adjective 
obvert, to turn so as to show another side, verb 
obviate, to anticipate and prevent or eliminate by effective measures, verb 
occident," that part of the earth towards the sunset, the west", noun 
occlude," to close, shut, or stop up (a passage, opening, etc )", verb 
occult, any system claiming use or knowledge of secret forces, noun 
occupant, a person who occupies a place or a position, noun 
occurrence, actual instance where a situation arises, noun 
octagon, a polygon with eight sides and eight angles, noun 
octave, an interval spanning eight degrees of the diatonic scale, noun 
octavo, a book printed on sheets folded to form 8 leaves or 16 pages, noun 
octogenarian," being between the age of 80 and 89, inclusive", adjective 
ocular," of, or relating to the eye, or the sense of sight", adjective 
oculist, an ophthalmologist, noun 
oddity, an odd or strange thing, noun 
ode," a short poetical composition, a lyric poem", noun 
odious," deserving or causing hatred, hateful, detestable", adjective 
odium," intense hatred, especially toward a contemptible person", noun 
odoriferous, having an odor or fragrance, adjective 
odorous, having a distinctive odor, adjective 
offhand, without planning or thinking ahead, adjective 
officiate, to perform the functions of some office, verb 
officious," obliging, attentive, eager to please", adjective 
offshoot," a branch or lateral shoot from a main stem, as of a plant", noun 
ogle," to stare at (someone or something), especially covetously", verb 
ogre, a type of giant from folk tales that eats human flesh, noun 
ointment, a viscous preparation of oils used as a treatment, noun 
olfactory, concerning the sense of smell, adjective 
oligarchy, government by the few, noun 
ominous," portending evil or harm, foreboding", adjective 
omission, the act of omitting, noun 
omnipotent," almighty or infinite in power, as god", adjective 
omnipresent, being everywhere simultaneously, adjective 
omniscient, having total knowledge, adjective 
omnivorous, having a diet which is neither carnivorous nor herbivorous, adjective 
onerous," burdensome, oppressive, or troublesome, causing hardship", adjective 
onomatopoeia, the property of a word of sounding like what it represents, noun 
onrush, a forceful rush or flow forward, noun 
onset, the beginning or start, noun 
onslaught," an onset, assault, or attack, especially a vigorous one", noun 
onus, a legal obligation, noun 
opalescence, exhibiting a play of colors like that of the opal, noun 
opaque," to make, render (more) opaque", verb 
operetta, a lighter opera with a frivolous story and spoken dialogue, noun 
opinion, to have or express as an opinion, verb 
opponent, an individual or group who is a rival of another, noun 
opportune, suitable for some particular purpose, adjective 
opposite, located directly across from something else, adjective 
opprobrium, the reproach incurred by conduct considered shameful, noun 
opt," to choose, to select", verb 
optic," of, or relating to the eye or to vision", adjective 
optician," a person who makes or sells lenses, spectacles etc", noun 
optimism, a tendency to expect the best, noun 
option," something that may be or is chosen, choice", noun 
optometry, the art and science of vision and eye care, noun 
opulence, wealth, noun 
opulent," luxuriant, and ostentatiously magnificent", adjective 
opus, a musical composition, noun 
oracular, of or relating to an oracle, adjective 
oral," uttered by the mouth, spoken", adjective 
orate," to speak formally, to give a speech", verb 
oratorio, a musical composition on a religious theme, noun 
oratory," the art of public speaking, especially in a formal manner", noun 
ordain, to invest with ministerial functions or holy orders, verb 
ordeal, a painful or trying experience, noun 
ordinal," of a number, indicating position in a sequence", adjective 
ordinance, a local law or regulation, noun 
ordinate, the distance from the x-axis measured parallel to the y-axis, noun 
ordnance," military equipment, especially weapons and ammunition", noun 
orgies," (plural) wild, drunken or licentious festivity or revelry", noun 
orifice," a mouth or aperture, as of a tube, pipe, etc, an opening", noun 
origin," something from which anything starts, the source", noun 
ornate," elaborately ornamented, often to excess", adjective 
ornithology, the branch of zoology that deals with birds, noun 
orthodox," the traditional doctrines of an ideology, faith or religion", adjective 
orthodoxy, correctness in doctrine and belief, noun 
orthogonal," pertaining to right angles, perpendicular (to)", adjective 
orthopedics," medical, concerned with the spine and joints", noun 
orthopedist, an orthopedic surgeon, noun 
oscillate," to swing back and forth, especially with a regular rhythm", verb 
oscillation, an act or instance of oscillating, noun 
osculate, to come into close contact or union, verb 
ossify, to convert into or cause to harden like bone, verb 
ostensible," outwardly appearing as such, professed", adjective 
ostracize, to exclude (a person) from society or from a community, verb 
oud, a musical instrument belonging to the lute family, noun 
ought, indicating duty or obligation, verb 
oust," to expel, to remove", verb 
outbreak," a sudden breaking out or occurrence, eruption", noun 
outcry, a strong and usually public expression of protest, noun 
outlandish," bizarre, strange", adjective 
outlast," to live, last or remain longer than something else", verb 
outlaw," a fugitive from the law, lawless person", noun 
outpost, a military post stationed at a distance from the main army, noun 
outrage, any gross violation of law or decency, noun 
outreach, to exceed, verb 
outride," to ride (a horse, bicycle, etc ) better than (someone)", verb 
outrigger, (nautical) beams that provide support for a mast or a canoe, noun 
outright, complete or total, adjective 
outskirt," a more remote part of a town or city, the periphery", noun 
outstretch, to extend by stretching, verb 
outstrip, to outrun or leave behind, verb 
